OTU,Kingdom,Phylum ,Class,Order,Family,Genus,Species
JN035217.1.1416,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas, Ambiguous_taxa
HM319058.1.1342,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,
FJ658775.1.1397,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
FJ382140.1.1360,Bacteria,Cyanobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
KU057065.1.1472,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,
AY922073.1.1351,Bacteria,Chloroflexi,TK10,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
HQ746547.1.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,
JX402125.1.1498,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,
JF747790.1.1464,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,uncultured, Ambiguous_taxa
GQ337881.1.1474,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis
HM779849.1.1506,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas, Ambiguous_taxa
EU537626.1.1370,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium
KM388751.1.1309,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,
KC668923.1.1477,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
AB935900.1.1384,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI, Ambiguous_taxa, Ambiguous_taxa
AB697159.1.1406,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,
FJ753803.1.1436,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus, Ambiguous_taxa
HM270195.1.1340,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
KJ722495.1.1478,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 12,
JF697363.1.1503,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,
DQ241388.1.1502,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,
EU128488.1.1397,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Bacillus sp. CWBI B1434
FJ430012.1.1446,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus calidus
JF175035.1.1343,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured bacterium
DQ814776.1.1293,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured bacterium
GQ130155.1.1434,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,,
KF411661.1.1284,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
AB487423.1.1338,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 10,uncultured bacterium
LN570394.1.1318,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,uncultured bacterium
KJ808186.1.1497,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,uncultured, Ambiguous_taxa
EU772700.1.1364,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
JF235034.1.1361,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. IGCAR-9/07
JX105648.1.1372,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
KJ890495.1.1485,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,
EU233779.1.1260,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,
JQ428219.1.1451,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,uncultured,uncultured bacterium
GQ385250.1.1430,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium
AB021411.1.1504,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium
GU559802.1.1327,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter, Ambiguous_taxa
CP012171.89438.90971,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paeniglutamicibacter,Arthrobacter sp. AB_65
AF068118.1.1428,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,
JQ738727.1.1510,Bacteria,,,,,,
KP745046.1.1444,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
KF061340.1.1344,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,Cloacibacterium normanense
HK557252.1.1469,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,
JQ825110.1.1481,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,uncultured bacterium,uncultured bacterium
AB601776.1.1304,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,alphaI cluster,uncultured bacterium,uncultured bacterium
CXWK01000304.18952.20458,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,
GU305765.1.1485,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,
JQ453130.1.1381,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,uncultured bacterium
EU867372.1.1392,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. CCGE2045
HE583142.1.1379,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
EU704731.1.1290,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,uncultured Ralstonia sp.
KF086841.1.1349,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Anaerococcus,uncultured bacterium
JF417798.1.1517,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium, Ambiguous_taxa
KC858868.1.1544,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Ambiguous_taxa
EU132752.1.1369,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured bacterium
DQ411541.1.1406,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium, Ambiguous_taxa
KJ569228.1.1428,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,
HM111374.1.1345,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,
EU287927.1.1434,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vogesella,Vogesella lacus
HM264939.1.1368,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium
GQ261288.1.1499,Bacteria,Parcubacteria,Candidatus Moranbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
HK557285.2.1482,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,
AJ290012.1.1298,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,uncultured bacterium
JF090188.1.1364,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured bacterium
EU624035.1.1461,Bacteria,Cyanobacteria,Chloroplast,Colacium calvum,Colacium calvum,Colacium calvum,Colacium calvum
EU472496.1.1362,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,uncultured bacterium
JN215492.1.1462,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus horikoshii
FJ558039.1.1407,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
EU804025.1.1464,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group,uncultured bacterium
EU773737.1.1410,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,uncultured bacterium
HQ118333.1.1381,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
EF660752.1.1461,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured bacterium
LN571036.1.1365,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,uncultured bacterium
DQ125533.1.1417,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Variibacter,uncultured bacterium
JQ624956.1.1352,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,
JF175068.1.1304,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
GQ984332.1.1465,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,
DQ337011.1.1462,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Holosporaceae,uncultured,
FJ217185.1.1436,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus, Ambiguous_taxa
KF464471.1.1292,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,
HM779276.1.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila
JQ349047.1.1409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,
AB488215.1.1358,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae (Subgroup 4),uncultured,
EU132856.1.1384,Bacteria,,,,,,
KT002250.1.1464,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,uncultured Clostridium sp.
JQ867280.1.1396,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,uncultured gamma proteobacterium
FM253115.1.1367,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
JF177143.1.1338,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
JN867352.1.1455,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,
JN032835.1.1445,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
AY436797.1.1466,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylophilus,
LN572109.1.1318,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,uncultured bacterium
HQ784436.1.1465,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,uncultured organism
EU135133.1.1304,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,uncultured bacterium
